World.
Waited 30 game minutes.
R032 Establishment Ally 1 · friendly · offset -2, 0
6:26:24 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:26:25 AM: You hear R032 Establishment Ally 1 saying "In the way here buddy."
6:26:26 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, pal."
6:26:27 AM: You hear R032 Establishment Ally 1 saying "Move it, my good fellow!"
6:26:28 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, my fellow nomad."
6:26:29 AM: You hear R032 Establishment Ally 1 saying "Out of the way, partner."
6:26:30 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, pal?"
6:26:31 AM: You hear R032 Establishment Ally 1 saying "Make some room, lad."
6:26:32 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:26:33 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, loyal friend."
6:26:34 AM: You hear R032 Establishment Ally 1 saying "Out of my darn way!"
6:26:35 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, my fellow wanderer."
6:26:36 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, homie."
6:26:37 AM: You hear R032 Establishment Ally 1 saying "Out of the way, amigo."
6:26:38 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, homie."
6:26:39 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, lad?"
6:26:40 AM: You hear R032 Establishment Ally 1 saying "Make a path, my fellow nomad."
6:26:41 AM: You hear R032 Establishment Ally 1 saying "Let me get past you, chum."
6:26:42 AM: You hear R032 Establishment Ally 1 saying "Step aside, loyal friend!"
6:26:43 AM: You hear R032 Establishment Ally 1 saying "Out of my way, limp-dick!"
6:26:44 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, my dude."
6:26:45 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:26:46 AM: You hear R032 Establishment Ally 1 saying "Excuse me, my brother-in-arms."
6:26:47 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:26:48 AM: You hear R032 Establishment Ally 1 saying "In the way here pal."
6:26:49 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:26:50 AM: You hear R032 Establishment Ally 1 saying "Allow me to pass, homie."
6:26:51 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:26:52 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:26:53 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, comrade."
6:26:54 AM: You hear R032 Establishment Ally 1 saying "You need to move, fella, okay?"
6:26:55 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:26:56 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, fella."
6:26:57 AM: You hear R032 Establishment Ally 1 saying "Let me slide by, partner."
6:26:58 AM: You hear R032 Establishment Ally 1 saying "Clear the path, bruv!"
6:26:59 AM: You hear R032 Establishment Ally 1 saying "Step aside, accomplice!"
6:27:00 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:27:01 AM: You hear R032 Establishment Ally 1 saying "Step aside, loyal friend!"
6:27:02 AM: You hear R032 Establishment Ally 1 saying "Excuse me, let me pass."
6:27:03 AM: You hear R032 Establishment Ally 1 saying "Make way, friend."
6:27:04 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:27:05 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:27:06 AM: You hear R032 Establishment Ally 1 saying "In the way here trusty companion."
6:27:07 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, comrade."
6:27:08 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:27:09 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, my fellow nomad."
6:27:10 AM: You hear R032 Establishment Ally 1 saying "Make a path, comrade."
6:27:11 AM: You hear R032 Establishment Ally 1 saying "Hey, bud, can I get through?"
6:27:12 AM: You hear R032 Establishment Ally 1 saying "Scoot over, friend."
6:27:13 AM: You hear R032 Establishment Ally 1 saying "Out of the way, fella."
6:27:14 AM: You hear R032 Establishment Ally 1 saying "Shift it, fella."
6:27:15 AM: You hear R032 Establishment Ally 1 saying "You need to move, pal, okay?"
6:27:16 AM: You hear R032 Establishment Ally 1 saying "Scoot over, lad."
6:27:17 AM: You hear R032 Establishment Ally 1 saying "Shift it, my brother-in-arms."
6:27:18 AM: You hear R032 Establishment Ally 1 saying "In the way here bruv."
6:27:19 AM: You hear R032 Establishment Ally 1 saying "Move your fuckin' ass, trash!"
6:27:20 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, buddy."
6:27:21 AM: You hear R032 Establishment Ally 1 saying "Need to get through here."
6:27:22 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, partner?"
6:27:23 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:27:24 AM: You hear R032 Establishment Ally 1 saying "Need to get through here."
6:27:25 AM: You hear R032 Establishment Ally 1 saying "Let me get by, fellow traveler."
6:27:26 AM: You hear R032 Establishment Ally 1 saying "Step aside, okay?"
6:27:27 AM: You hear R032 Establishment Ally 1 saying "Shift it, bruv."
6:27:28 AM: You hear R032 Establishment Ally 1 saying "Let me get past you, dawg."
6:27:29 AM: You hear R032 Establishment Ally 1 saying "Excuse me, let me pass."
6:27:30 AM: You hear R032 Establishment Ally 1 saying "You need to move, adventurer, okay?"
6:27:31 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, my fellow wanderer."
6:27:32 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:27:33 AM: You hear R032 Establishment Ally 1 saying "Out of my way, z fodder!"
6:27:34 AM: You hear R032 Establishment Ally 1 saying "Step aside, accomplice!"
6:27:35 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, buddy?"
6:27:36 AM: You hear R032 Establishment Ally 1 saying "Hey, my fellow wanderer, can I get through?"
6:27:37 AM: You hear R032 Establishment Ally 1 saying "Excuse me, homie."
6:27:38 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:27:39 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, fella."
6:27:40 AM: You hear R032 Establishment Ally 1 saying "Step aside, pal!"
6:27:41 AM: You hear R032 Establishment Ally 1 saying "Let me get by, my fellow nomad."
6:27:42 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:27:43 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:27:44 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:27:45 AM: You hear R032 Establishment Ally 1 saying "Need to get through here."
6:27:46 AM: You hear R032 Establishment Ally 1 saying "Move your motherfucking ass, piece of an ass!"
6:27:47 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:27:48 AM: You hear R032 Establishment Ally 1 saying "Excuse me, let me pass."
6:27:49 AM: You hear R032 Establishment Ally 1 saying "Step aside, okay?"
6:27:50 AM: You hear R032 Establishment Ally 1 saying "Excuse me, chum."
6:27:51 AM: You hear R032 Establishment Ally 1 saying "Make a path, partner."
6:27:52 AM: You hear R032 Establishment Ally 1 saying "Please let me through."
6:27:53 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, bruv?"
6:27:54 AM: You hear R032 Establishment Ally 1 saying "I need to get past you, my good fellow."
6:27:55 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, amigo."
6:27:56 AM: You hear R032 Establishment Ally 1 saying "Let me slide by, fellow survivor."
6:27:57 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:27:58 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, comrade."
6:27:59 AM: You hear R032 Establishment Ally 1 saying "You need to move, dawg, okay?"
6:28:00 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:28:01 AM: You hear R032 Establishment Ally 1 saying "Make a path, my fellow nomad."
6:28:02 AM: You hear R032 Establishment Ally 1 saying "Move it, dawg!"
6:28:03 AM: You hear R032 Establishment Ally 1 saying "Please let me through."
6:28:04 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, mate."
6:28:05 AM: You hear R032 Establishment Ally 1 saying "Let me get by, amigo."
6:28:07 AM: You hear R032 Establishment Ally 1 saying "I need some space here." x 2
6:28:08 AM: You hear R032 Establishment Ally 1 saying "Step aside, my dude!"
6:28:09 AM: You hear R032 Establishment Ally 1 saying "Need to get through here."
6:28:10 AM: You hear R032 Establishment Ally 1 saying "Hey, my fellow nomad, can I get through?"
6:28:11 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, dawg."
6:28:12 AM: You hear R032 Establishment Ally 1 saying "Excuse me, dawg."
6:28:13 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, fellow survivor?"
6:28:14 AM: You hear R032 Establishment Ally 1 saying "Make way, fella."
6:28:15 AM: You hear R032 Establishment Ally 1 saying "Clear the path, bruv!"
6:28:16 AM: You hear R032 Establishment Ally 1 saying "Let me slide by, buddy."
6:28:17 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:28:18 AM: You hear R032 Establishment Ally 1 saying "Hey, fellow survivor, can I get through?"
6:28:19 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:28:20 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, accomplice."
6:28:21 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, loyal friend."
6:28:22 AM: You hear R032 Establishment Ally 1 saying "Coming through!"
6:28:23 AM: You hear R032 Establishment Ally 1 saying "I need to get past you, my fellow wanderer."
6:28:24 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, lad?"
6:28:25 AM: You hear R032 Establishment Ally 1 saying "Coming through!"
6:28:26 AM: You hear R032 Establishment Ally 1 saying "Scoot over, homie."
6:28:27 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:28:28 AM: You hear R032 Establishment Ally 1 saying "You need to move, comrade, okay?"
6:28:29 AM: You hear R032 Establishment Ally 1 saying "Shift it, buddy."
6:28:30 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, fellow survivor."
6:28:31 AM: You hear R032 Establishment Ally 1 saying "Scoot over, fella."
6:28:32 AM: You hear R032 Establishment Ally 1 saying "Allow me to pass, comrade."
6:28:33 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:28:34 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:28:35 AM: You hear R032 Establishment Ally 1 saying "Shift it, my fellow wanderer."
6:28:36 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:28:37 AM: You hear R032 Establishment Ally 1 saying "I need to get by."
6:28:38 AM: You hear R032 Establishment Ally 1 saying "Coming through!"
6:28:39 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:28:40 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:28:41 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, my good fellow?"
6:28:42 AM: You hear R032 Establishment Ally 1 saying "Coming through!"
6:28:43 AM: You hear R032 Establishment Ally 1 saying "Step aside, okay?"
6:28:44 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:28:45 AM: You hear R032 Establishment Ally 1 saying "Out of the way, trusty companion."
6:28:46 AM: You hear R032 Establishment Ally 1 saying "Step aside, okay?"
6:28:47 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:28:48 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:28:49 AM: You hear R032 Establishment Ally 1 saying "Clear the path, my dude!"
6:28:50 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:28:51 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:28:52 AM: You hear R032 Establishment Ally 1 saying "Make some room, amigo."
6:28:53 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, trusty companion."
6:28:54 AM: You hear R032 Establishment Ally 1 saying "Let me slide by, friend."
6:28:55 AM: You hear R032 Establishment Ally 1 saying "I need to get past you, amigo."
6:28:56 AM: You hear R032 Establishment Ally 1 saying "Let me get by, trusty companion."
6:28:57 AM: You hear R032 Establishment Ally 1 saying "Shift it, fellow survivor."
6:28:58 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:28:59 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:29:00 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:29:01 AM: You hear R032 Establishment Ally 1 saying "Step aside, okay?"
6:29:02 AM: You hear R032 Establishment Ally 1 saying "You're in the way."
6:29:03 AM: You hear R032 Establishment Ally 1 saying "Excuse me, buddy."
6:29:04 AM: You hear R032 Establishment Ally 1 saying "Let me get by, fella."
6:29:05 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:29:06 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:29:07 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, friend."
6:29:08 AM: You hear R032 Establishment Ally 1 saying "Out of my fricking way!"
6:29:09 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:29:10 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, trusty companion."
6:29:11 AM: You hear R032 Establishment Ally 1 saying "Shift it, mate."
6:29:12 AM: You hear R032 Establishment Ally 1 saying "Step aside, dawg!"
6:29:13 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, chum."
6:29:14 AM: You hear R032 Establishment Ally 1 saying "Shift it, fellow survivor."
6:29:15 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, pal."
6:29:16 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:29:17 AM: You hear R032 Establishment Ally 1 saying "Coming through!"
6:29:18 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:29:19 AM: You hear R032 Establishment Ally 1 saying "In the way here buddy."
6:29:20 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:29:21 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, buddy?"
6:29:22 AM: You hear R032 Establishment Ally 1 saying "Excuse me, my dude."
6:29:23 AM: You hear R032 Establishment Ally 1 saying "Scoot over, adventurer."
6:29:24 AM: You hear R032 Establishment Ally 1 saying "Need to get through here."
6:29:25 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:29:26 AM: You hear R032 Establishment Ally 1 saying "Move your god damn ass, asswipe!"
6:29:27 AM: You hear R032 Establishment Ally 1 saying "Make a path, loyal friend."
6:29:28 AM: You hear R032 Establishment Ally 1 saying "Make some room, dawg."
6:29:29 AM: You hear R032 Establishment Ally 1 saying "Let me get by, amigo."
6:29:30 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:29:31 AM: You hear R032 Establishment Ally 1 saying "You need to move, trusty companion, okay?"
6:29:32 AM: You hear R032 Establishment Ally 1 saying "Hey, trusty companion, can I get through?"
6:29:33 AM: You hear R032 Establishment Ally 1 saying "Excuse me, partner."
6:29:34 AM: You hear R032 Establishment Ally 1 saying "Make some room, my dude."
6:29:35 AM: You hear R032 Establishment Ally 1 saying "Out of my way, pillock!"
6:29:36 AM: You hear R032 Establishment Ally 1 saying "Out of my way, emergency ration!"
6:29:37 AM: You hear R032 Establishment Ally 1 saying "Make a path, amigo."
6:29:38 AM: You hear R032 Establishment Ally 1 saying "Clear the path, homie!"
6:29:39 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:29:40 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:29:41 AM: You hear R032 Establishment Ally 1 saying "Coming through, make way."
6:29:42 AM: You hear R032 Establishment Ally 1 saying "Gotta get past you, fella."
6:29:43 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:29:44 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:29:45 AM: You hear R032 Establishment Ally 1 saying "Let me get by, fellow traveler."
6:29:46 AM: You hear R032 Establishment Ally 1 saying "Let me through, okay?"
6:29:47 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:29:48 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, homie."
6:29:49 AM: You hear R032 Establishment Ally 1 saying "Step aside, my fellow nomad!"
6:29:50 AM: You hear R032 Establishment Ally 1 saying "Excuse me, my good fellow."
6:29:51 AM: You hear R032 Establishment Ally 1 saying "Step aside, okay?"
6:29:52 AM: You hear R032 Establishment Ally 1 saying "Move aside, fellow survivor."
6:29:53 AM: You hear R032 Establishment Ally 1 saying "Clear the path, lad!"
6:29:54 AM: You hear R032 Establishment Ally 1 saying "Need to get through here."
6:29:55 AM: You hear R032 Establishment Ally 1 saying "Move over a bit, friend."
6:29:56 AM: You hear R032 Establishment Ally 1 saying "Let me slide by, partner."
6:29:57 AM: You hear R032 Establishment Ally 1 saying "Hey, fella, can I get through?"
6:29:58 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:29:59 AM: You hear R032 Establishment Ally 1 saying "Clear the path, amigo!"
6:30:00 AM: You hear R032 Establishment Ally 1 saying "Allow me to pass, my good fellow."
6:35:18 AM: You finish waiting.
Game time: 7595 minutes.
